record_id,claim,claim_type,data_source,script,output,log,status,notes
final-xbd-inventory,The study contains 99629 xBD buildings and 1448 reference 500m cells,data_inventory,xBD derived building labels,src/01_parse_xbd_labels.py plus src/02_build_xbd_damage_grid.py,data/derived/xbd_core_v1/xbd_event_summary.csv,records/final_evidence_freeze_20260715-1612.md,complete,Raw imagery is not redistributed
final-legacy-audit,The WorldPop 1km comparison yields 67 percentile and 109 exact Top-20 disagreements,comparison_analysis,WorldPop 1km and xBD OSM context,src/05_analyze_priority_mismatch.py plus src/15_run_strict_budget_check.py,data/derived/strict_budget_v1/strict_budget_event_summary.csv,records/final_evidence_freeze_20260715-1612.md,complete,Retained only as a population-resolution comparison
final-primary-audit,The WorldPop 100m primary analysis yields 73 percentile and 115 exact Top-20 disagreements,primary_analysis,WorldPop 100m and xBD OSM context,src/05_analyze_priority_mismatch.py plus src/15_run_strict_budget_check.py,data/derived/strict_budget_100m_v1/strict_budget_event_summary.csv,records/final_evidence_freeze_20260715-1612.md,complete,These are provisional disagreement candidates
final-baseline-weight,Fixed-gate evidence covers four damage baselines and 10000 policy-plausible weight draws,robustness_analysis,100m and 1km priority grids,src/18_run_baseline_weight_robustness.py,data/derived/evidence_hardening_100m_v1/weight_uncertainty_cells.csv,records/final_evidence_freeze_20260715-1612.md,complete,Seed is 20260715 and thresholds are fixed
final-multiscale,The audit is independently evaluated at 250m 500m and 1000m for both population products,spatial_robustness,building-level inputs and prepared urban context,src/19_run_multiscale_robustness.py,data/derived/multiscale_100m_v1/multiscale_event_summary.csv,records/final_evidence_freeze_20260715-1612.md,complete,Scales are rebuilt rather than split from the 500m grid
final-population-resolution,WorldPop 100m passes quality control and 1km remains a distinct sensitivity product,population_audit,WorldPop 100m and 1km joined grids,src/26_audit_population_resolution.py,data/derived/population_resolution_audit_v1/population_resolution_event_audit.csv,records/final_evidence_freeze_20260715-1612.md,complete,All four events have finite nonnegative 100m values
final-historical-osm,Historical OSM status is not_assessable for Harvey and does_not_support for Mexico and Palu and support for Santa Rosa,temporal_sensitivity,ohsome pre-event roads facilities and buildings,src/22_run_historical_osm_sensitivity.py,data/derived/historical_osm_v1/historical_osm_event_summary.csv,records/final_evidence_freeze_20260715-1612.md,complete,Failed or low-coverage requests are never encoded as zero
final-nfip,Harvey NFIP covers 10134 claims aggregated to 149 tracts and produces mixed boundary evidence,external_proxy,OpenFEMA NFIP Claims v2,src/20_validate_harvey_nfip.py,data/derived/harvey_external_validation_v1/harvey_external_validation_metrics.csv,records/final_evidence_freeze_20260715-1612.md,complete,NFIP is an insured-property-loss proxy
final-svi-ihp,CDC SVI and FEMA RI-IHP produce construct-specific and mixed ranking evidence,external_proxy,CDC SVI 2016 and OpenFEMA RI-IHP,src/23_validate_svi_ihp.py,data/derived/external_proxies_v1/external_proxy_rank_metrics.csv,records/final_evidence_freeze_20260715-1612.md,complete,RI-IHP uses one table and is aggregated once by ZIP
final-consensus,Four Mexico cells pass every fixed non-temporal gate and zero has supportive temporal evidence,consensus_audit,two population products four baselines weights scales and historical OSM,src/24_build_final_consensus.py,data/derived/final_consensus_v1/final_consensus_candidates.csv,records/final_evidence_freeze_20260715-1612.md,complete,Candidate thresholds were not relaxed after inspection
final-figures,Figures 1 through 12 are released as SVG vector PDF 600dpi PNG and grayscale-check PNG,figure_release,final derived evidence tables,src/21_regenerate_publication_figures.py plus src/25_make_final_evidence_figures.py,reports/figures/fig11_consensus_audit.png,records/final_evidence_freeze_20260715-1612.md,complete,Direct labels confidence intervals and colorblind-safe colors are used where applicable
final-documents,The English paper Chinese report reproducibility guide and AI record match the frozen evidence,document_release,final tables figures terminology and references,src/09_export_report_pdfs.py,reports/pdf/paper_en.pdf,records/final_evidence_freeze_20260715-1612.md,complete,Public links and transparent brand assets are embedded
final-public-reproduction,One command downloads a fixed dataset revision verifies hashes and recomputes the final consensus,public_reproduction,Hugging Face fixed revision and GitHub code,scripts/reproduce_core.py,data/reproduced/core_v1/reproduction_report.json,records/final_evidence_freeze_20260715-1612.md,complete,The reviewer route is CPU-only and excludes live source acquisition
